media_id,device_id,filename,stored_captured_at_utc,derived_captured_at_utc,delta_s
53098,BMCAM_003,2026-09-22T13-00-30Z_video_5s.h264,2026-09-22T13:03:37+00:00,2026-09-22T13:00:30+00:00,187.0
53099,BMCAM_003,2026-09-22T13-20-39Z_video_5s.h264,2026-09-22T13:23:41+00:00,2026-09-22T13:20:39+00:00,182.0
53100,BMCAM_003,2026-09-22T13-28-09Z_video_5s.h264,2026-09-22T13:29:30+00:00,2026-09-22T13:28:09+00:00,81.0
53101,BMCAM_004,2026-09-22T13-20-34Z_video_5s.h264,2026-09-22T13:23:39+00:00,2026-09-22T13:20:34+00:00,185.0
53106,BMCAM_003,2026-09-22T13-40-39Z_video_5s.h264,2026-09-22T13:43:42+00:00,2026-09-22T13:40:39+00:00,183.0
53107,BMCAM_003,2026-09-22T14-00-39Z_video_5s.h264,2026-09-22T14:03:29+00:00,2026-09-22T14:00:39+00:00,170.0
53109,BMCAM_004,2026-09-22T13-40-34Z_video_5s.h264,2026-09-22T13:43:30+00:00,2026-09-22T13:40:34+00:00,176.0
53110,BMCAM_004,2026-09-22T14-00-34Z_video_5s.h264,2026-09-22T14:03:31+00:00,2026-09-22T14:00:34+00:00,177.0
53113,BMCAM_004,2026-09-22T14-20-34Z_video_5s.h264,2026-09-22T14:23:39+00:00,2026-09-22T14:20:34+00:00,185.0
53114,BMCAM_003,2026-09-22T14-20-39Z_video_5s.h264,2026-09-22T14:23:37+00:00,2026-09-22T14:20:39+00:00,178.0
53115,BMCAM_003,2026-09-22T14-40-39Z_video_5s.h264,2026-09-22T14:43:34+00:00,2026-09-22T14:40:39+00:00,175.0
53116,BMCAM_004,2026-09-22T14-40-34Z_video_5s.h264,2026-09-22T14:43:40+00:00,2026-09-22T14:40:34+00:00,186.0
53117,BMCAM_004,2026-09-22T15-00-33Z_video_5s.h264,2026-09-22T15:03:12+00:00,2026-09-22T15:00:33+00:00,159.0
53118,BMCAM_003,2026-09-22T15-00-38Z_video_5s.h264,2026-09-22T15:03:34+00:00,2026-09-22T15:00:38+00:00,176.0
53119,BMCAM_004,2026-09-22T15-20-33Z_video_5s.h264,2026-09-22T15:23:39+00:00,2026-09-22T15:20:33+00:00,186.0
53120,BMCAM_003,2026-09-22T16-00-31Z_video_5s.h264,2026-09-22T16:03:37+00:00,2026-09-22T16:00:31+00:00,186.0
53121,BMCAM_003,2026-09-22T16-20-31Z_video_5s.h264,2026-09-22T16:23:28+00:00,2026-09-22T16:20:31+00:00,177.0
53122,BMCAM_004,2026-09-22T16-00-31Z_video_5s.h264,2026-09-22T16:03:33+00:00,2026-09-22T16:00:31+00:00,182.0
53123,BMCAM_004,2026-09-22T16-20-30Z_video_5s.h264,2026-09-22T16:23:34+00:00,2026-09-22T16:20:30+00:00,184.0
53124,BMCAM_004,2026-09-22T16-40-30Z_video_5s.h264,2026-09-22T16:43:32+00:00,2026-09-22T16:40:30+00:00,182.0
53125,BMCAM_004,2026-09-22T17-00-30Z_video_5s.h264,2026-09-22T17:03:29+00:00,2026-09-22T17:00:30+00:00,179.0
53126,BMCAM_004,2026-09-22T17-20-30Z_video_5s.h264,2026-09-22T17:23:36+00:00,2026-09-22T17:20:30+00:00,186.0
53127,BMCAM_004,2026-09-22T17-40-30Z_video_5s.h264,2026-09-22T17:43:33+00:00,2026-09-22T17:40:30+00:00,183.0
53128,BMCAM_003,2026-09-22T17-10-35Z_video_5s.h264,2026-09-22T17:13:31+00:00,2026-09-22T17:10:35+00:00,176.0
53129,BMCAM_003,2026-09-22T16-50-35Z_video_5s.h264,2026-09-22T16:53:35+00:00,2026-09-22T16:50:35+00:00,180.0
53130,BMCAM_003,2026-09-22T17-30-35Z_video_5s.h264,2026-09-22T17:33:30+00:00,2026-09-22T17:30:35+00:00,175.0
53132,BMCAM_003,2026-09-22T17-50-35Z_video_5s.h264,2026-09-22T17:53:38+00:00,2026-09-22T17:50:35+00:00,183.0
53133,BMCAM_003,2026-09-22T18-10-34Z_video_5s.h264,2026-09-22T18:13:28+00:00,2026-09-22T18:10:34+00:00,174.0
53134,BMCAM_004,2026-09-22T18-00-29Z_video_5s.h264,2026-09-22T18:03:33+00:00,2026-09-22T18:00:29+00:00,184.0
53135,BMCAM_004,2026-09-22T18-20-29Z_video_5s.h264,2026-09-22T18:27:36+00:00,2026-09-22T18:20:29+00:00,427.0
53136,BMCAM_004,2026-09-22T18-27-09Z_video_5s.h264,2026-09-22T18:28:36+00:00,2026-09-22T18:27:09+00:00,87.0
53137,BMCAM_003,2026-09-22T18-27-14Z_video_5s.h264,2026-09-22T18:28:40+00:00,2026-09-22T18:27:14+00:00,86.0
53138,BMCAM_003,2026-09-22T18-40-34Z_video_5s.h264,2026-09-22T18:43:36+00:00,2026-09-22T18:40:34+00:00,182.0
53139,BMCAM_004,2026-09-22T18-40-39Z_video_5s.h264,2026-09-22T18:43:41+00:00,2026-09-22T18:40:39+00:00,182.0
53140,BMCAM_004,2026-09-22T19-05-37Z_video_5s.h264,2026-09-22T19:08:37+00:00,2026-09-22T19:05:37+00:00,180.0
53141,BMCAM_003,2026-09-22T19-05-33Z_video_5s.h264,2026-09-22T19:08:39+00:00,2026-09-22T19:05:33+00:00,186.0
53142,BMCAM_003,2026-09-22T19-20-33Z_video_5s.h264,2026-09-22T19:23:37+00:00,2026-09-22T19:20:33+00:00,184.0
53143,BMCAM_003,2026-09-22T19-35-33Z_video_5s.h264,2026-09-22T19:38:36+00:00,2026-09-22T19:35:33+00:00,183.0
53144,BMCAM_004,2026-09-22T19-20-37Z_video_5s.h264,2026-09-22T19:23:37+00:00,2026-09-22T19:20:37+00:00,180.0
53145,BMCAM_004,2026-09-22T19-35-37Z_video_5s.h264,2026-09-22T19:38:39+00:00,2026-09-22T19:35:37+00:00,182.0
53146,BMCAM_004,2026-09-22T19-50-36Z_video_5s.h264,2026-09-22T19:53:39+00:00,2026-09-22T19:50:36+00:00,183.0
53147,BMCAM_003,2026-09-22T19-50-32Z_video_5s.h264,2026-09-22T19:53:39+00:00,2026-09-22T19:50:32+00:00,187.0
53148,BMCAM_003,2026-09-22T20-05-32Z_video_5s.h264,2026-09-22T20:08:38+00:00,2026-09-22T20:05:32+00:00,186.0
53149,BMCAM_003,2026-09-22T20-20-32Z_video_5s.h264,2026-09-22T20:23:37+00:00,2026-09-22T20:20:32+00:00,185.0
53150,BMCAM_003,2026-09-22T20-35-32Z_video_5s.h264,2026-09-22T20:38:37+00:00,2026-09-22T20:35:32+00:00,185.0
53151,BMCAM_004,2026-09-22T20-05-36Z_video_5s.h264,2026-09-22T20:08:39+00:00,2026-09-22T20:05:36+00:00,183.0
53152,BMCAM_004,2026-09-22T20-20-36Z_video_5s.h264,2026-09-22T20:23:40+00:00,2026-09-22T20:20:36+00:00,184.0
53153,BMCAM_004,2026-09-22T20-35-36Z_video_5s.h264,2026-09-22T20:38:38+00:00,2026-09-22T20:35:36+00:00,182.0
53154,BMCAM_004,2026-09-22T20-50-36Z_video_5s.h264,2026-09-22T20:53:39+00:00,2026-09-22T20:50:36+00:00,183.0
53155,BMCAM_003,2026-09-22T20-50-32Z_video_5s.h264,2026-09-22T20:53:37+00:00,2026-09-22T20:50:32+00:00,185.0
53156,BMCAM_003,2026-09-22T21-05-32Z_video_5s.h264,2026-09-22T21:08:38+00:00,2026-09-22T21:05:32+00:00,186.0
53157,BMCAM_003,2026-09-22T21-20-32Z_video_5s.h264,2026-09-22T21:23:35+00:00,2026-09-22T21:20:32+00:00,183.0
53158,BMCAM_003,2026-09-22T21-35-31Z_video_5s.h264,2026-09-22T21:37:21+00:00,2026-09-22T21:35:31+00:00,110.0
53159,BMCAM_004,2026-09-22T21-05-36Z_video_5s.h264,2026-09-22T21:08:38+00:00,2026-09-22T21:05:36+00:00,182.0
53160,BMCAM_004,2026-09-22T21-20-36Z_video_5s.h264,2026-09-22T21:23:38+00:00,2026-09-22T21:20:36+00:00,182.0
53161,BMCAM_004,2026-09-22T21-35-36Z_video_5s.h264,2026-09-22T21:38:38+00:00,2026-09-22T21:35:36+00:00,182.0
53162,BMCAM_004,2026-09-22T21-50-35Z_video_5s.h264,2026-09-22T21:53:36+00:00,2026-09-22T21:50:35+00:00,181.0
53163,BMCAM_003,2026-09-22T22-35-38Z_video_5s.h264,2026-09-22T22:38:34+00:00,2026-09-22T22:35:38+00:00,176.0
53164,BMCAM_003,2026-09-22T22-50-38Z_video_5s.h264,2026-09-22T22:53:33+00:00,2026-09-22T22:50:38+00:00,175.0
53165,BMCAM_004,2026-09-22T22-35-32Z_video_5s.h264,2026-09-22T22:38:31+00:00,2026-09-22T22:35:32+00:00,179.0
53166,BMCAM_004,2026-09-22T22-50-32Z_video_5s.h264,2026-09-22T22:53:36+00:00,2026-09-22T22:50:32+00:00,184.0
53167,BMCAM_004,2026-09-22T23-05-32Z_video_5s.h264,2026-09-22T23:08:34+00:00,2026-09-22T23:05:32+00:00,182.0
53168,BMCAM_004,2026-09-22T23-20-32Z_video_5s.h264,2026-09-22T23:23:35+00:00,2026-09-22T23:20:32+00:00,183.0
53169,BMCAM_003,2026-09-22T23-05-38Z_video_5s.h264,2026-09-22T23:08:39+00:00,2026-09-22T23:05:38+00:00,181.0
53170,BMCAM_003,2026-09-22T23-20-38Z_video_5s.h264,2026-09-22T23:23:39+00:00,2026-09-22T23:20:38+00:00,181.0
53171,BMCAM_003,2026-09-22T23-35-38Z_video_5s.h264,2026-09-22T23:38:39+00:00,2026-09-22T23:35:38+00:00,181.0
53172,BMCAM_003,2026-09-22T23-50-37Z_video_5s.h264,2026-09-22T23:53:39+00:00,2026-09-22T23:50:37+00:00,182.0
53173,BMCAM_004,2026-09-22T23-35-32Z_video_5s.h264,2026-09-22T23:38:35+00:00,2026-09-22T23:35:32+00:00,183.0
53174,BMCAM_004,2026-09-22T23-50-32Z_video_5s.h264,2026-09-22T23:53:34+00:00,2026-09-22T23:50:32+00:00,182.0
53175,BMCAM_004,2026-09-23T00-05-31Z_video_5s.h264,2026-09-23T00:08:35+00:00,2026-09-23T00:05:31+00:00,184.0
53176,BMCAM_004,2026-09-23T00-20-31Z_video_5s.h264,2026-09-23T00:23:33+00:00,2026-09-23T00:20:31+00:00,182.0
53177,BMCAM_003,2026-09-23T00-05-37Z_video_5s.h264,2026-09-23T00:08:40+00:00,2026-09-23T00:05:37+00:00,183.0
53178,BMCAM_003,2026-09-23T00-20-37Z_video_5s.h264,2026-09-23T00:23:39+00:00,2026-09-23T00:20:37+00:00,182.0
53179,BMCAM_003,2026-09-23T00-35-37Z_video_5s.h264,2026-09-23T00:38:39+00:00,2026-09-23T00:35:37+00:00,182.0
53180,BMCAM_003,2026-09-23T00-50-37Z_video_5s.h264,2026-09-23T00:53:38+00:00,2026-09-23T00:50:37+00:00,181.0
53181,BMCAM_004,2026-09-23T00-35-31Z_video_5s.h264,2026-09-23T00:38:36+00:00,2026-09-23T00:35:31+00:00,185.0
53182,BMCAM_004,2026-09-23T00-50-31Z_video_5s.h264,2026-09-23T00:53:34+00:00,2026-09-23T00:50:31+00:00,183.0
53183,BMCAM_004,2026-09-23T01-05-31Z_video_5s.h264,2026-09-23T01:08:34+00:00,2026-09-23T01:05:31+00:00,183.0
53184,BMCAM_004,2026-09-23T01-20-31Z_video_5s.h264,2026-09-23T01:23:31+00:00,2026-09-23T01:20:31+00:00,180.0
53185,BMCAM_003,2026-09-23T01-05-37Z_video_5s.h264,2026-09-23T01:08:41+00:00,2026-09-23T01:05:37+00:00,184.0
53186,BMCAM_003,2026-09-23T01-20-37Z_video_5s.h264,2026-09-23T01:23:34+00:00,2026-09-23T01:20:37+00:00,177.0
53187,BMCAM_003,2026-09-23T01-35-36Z_video_5s.h264,2026-09-23T01:38:35+00:00,2026-09-23T01:35:36+00:00,179.0
53188,BMCAM_003,2026-09-23T01-50-36Z_video_5s.h264,2026-09-23T01:53:16+00:00,2026-09-23T01:50:36+00:00,160.0
53189,BMCAM_004,2026-09-23T01-35-31Z_video_5s.h264,2026-09-23T01:38:32+00:00,2026-09-23T01:35:31+00:00,181.0
53190,BMCAM_004,2026-09-23T01-50-31Z_video_5s.h264,2026-09-23T01:53:31+00:00,2026-09-23T01:50:31+00:00,180.0
53191,BMCAM_004,2026-09-23T02-05-30Z_video_5s.h264,2026-09-23T02:08:32+00:00,2026-09-23T02:05:30+00:00,182.0
53192,BMCAM_004,2026-09-23T02-20-30Z_video_5s.h264,2026-09-23T02:23:33+00:00,2026-09-23T02:20:30+00:00,183.0
53193,BMCAM_003,2026-09-23T02-05-36Z_video_5s.h264,2026-09-23T02:08:39+00:00,2026-09-23T02:05:36+00:00,183.0
53194,BMCAM_003,2026-09-23T02-20-36Z_video_5s.h264,2026-09-23T02:23:39+00:00,2026-09-23T02:20:36+00:00,183.0
53195,BMCAM_004,2026-09-23T04-00-35Z_video_5s.h264,2026-09-23T04:03:37+00:00,2026-09-23T04:00:35+00:00,182.0
53196,BMCAM_003,2026-09-23T04-00-33Z_video_5s.h264,2026-09-23T04:03:40+00:00,2026-09-23T04:00:33+00:00,187.0
53197,BMCAM_004,2026-09-23T04-15-35Z_video_5s.h264,2026-09-23T04:18:37+00:00,2026-09-23T04:15:35+00:00,182.0
53198,BMCAM_003,2026-09-23T04-15-33Z_video_5s.h264,2026-09-23T04:19:22+00:00,2026-09-23T04:15:33+00:00,229.0
53199,BMCAM_004,2026-09-23T04-30-35Z_video_5s.h264,2026-09-23T04:33:37+00:00,2026-09-23T04:30:35+00:00,182.0
53200,BMCAM_004,2026-09-23T04-45-35Z_video_5s.h264,2026-09-23T04:48:37+00:00,2026-09-23T04:45:35+00:00,182.0
53201,BMCAM_003,2026-09-23T04-50-05Z_video_5s.h264,2026-09-23T04:56:01+00:00,2026-09-23T04:50:05+00:00,356.0
53202,BMCAM_003,2026-09-23T04-55-35Z_video_5s.h264,2026-09-23T04:59:24+00:00,2026-09-23T04:55:35+00:00,229.0
53203,BMCAM_003,2026-09-23T05-10-35Z_video_5s.h264,2026-09-23T05:14:27+00:00,2026-09-23T05:10:35+00:00,232.0
